"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
1998,"X800",1,0,0,3,1,0,6,3,1,3,1
1998,"X800",2,0,0,4,3,0,2,3,4,0,2
1998,"X830",1,0,0,0,0,0,0,1,0,0,0
1998,"X840",1,0,0,2,15,2,36,18,14,12,7
1998,"X840",2,0,1,3,5,0,12,6,8,2,4
1999,"X610",1,0,0,1,1,0,1,3,0,0,0
1999,"X610",2,0,0,0,1,0,4,1,0,1,0
1999,"X630",1,0,0,1,0,0,0,0,0,0,0
1999,"X640",1,0,0,4,2,0,5,9,4,2,0
1999,"X640",2,0,0,4,2,0,2,2,2,1,0
1999,"X650",1,0,0,0,1,0,0,0,0,0,0
1999,"X660",1,0,0,0,1,0,0,0,0,0,0
1999,"X670",1,0,0,0,0,0,2,1,1,0,0
1999,"X670",2,0,0,0,1,0,0,0,0,0,0
1999,"X680",1,0,2,6,9,0,29,24,15,5,4
1999,"X680",2,0,2,5,1,0,11,6,5,2,1
1999,"X690",1,0,0,2,6,0,11,14,10,3,1
1999,"X690",2,0,3,1,2,0,3,7,3,1,0
1999,"X700",1,0,11,91,174,4,310,355,357,151,131
1999,"X700",2,0,12,19,26,0,57,66,80,34,37
1999,"X710",1,0,0,0,1,0,1,0,1,0,1
1999,"X710",2,0,0,0,1,0,0,1,1,2,2
1999,"X720",1,0,0,11,20,0,15,16,19,9,8
1999,"X720",2,0,2,4,4,0,6,3,2,1,1
1999,"X730",1,0,1,2,7,0,2,6,5,0,3
1999,"X730",2,0,0,0,1,0,0,0,0,0,1
1999,"X740",1,1,3,28,42,0,78,43,56,30,30
1999,"X740",2,0,3,12,7,0,17,5,10,1,1
1999,"X760",1,0,0,0,3,0,6,4,4,0,2
1999,"X760",2,0,1,0,2,0,6,3,9,2,3
1999,"X770",1,0,0,0,1,0,4,4,2,0,1
1999,"X770",2,0,0,0,0,0,1,0,0,0,0
1999,"X780",1,0,0,3,2,0,10,1,9,5,5
1999,"X780",2,0,0,0,0,0,1,2,2,0,0
1999,"X790",1,0,0,3,7,0,10,7,5,5,4
1999,"X790",2,0,0,1,0,0,2,3,3,0,1
1999,"X800",1,0,0,1,4,0,4,3,3,1,2
1999,"X800",2,0,0,4,3,0,0,1,3,5,1
1999,"X810",2,0,0,0,1,0,0,0,0,0,0
1999,"X820",1,0,0,0,0,0,1,0,0,0,0
1999,"X830",1,0,0,1,1,0,0,1,0,0,1
1999,"X840",1,0,1,12,9,0,20,18,18,6,10
1999,"X840",2,0,0,3,3,0,4,8,6,2,0
2000,"X610",1,0,0,1,1,0,1,4,3,0,0
2000,"X610",2,0,0,1,2,0,7,2,2,2,0
2000,"X630",1,0,0,0,0,0,0,1,0,0,0
